UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,Failure_type
869,M00868,L,302.28,311.93,1849,38.49,17,0,No Failure
870,M00869,L,298.3,307.43,1373,36.53,202,0,No Failure
871,M00870,M,298.66,308.41,1639,37.44,205,0,No Failure
872,M00871,L,294.8,303.23,1824,39.29,85,0,No Failure
873,M00872,L,298.54,308.2,1252,65.91,155,1,General Failure
874,M00873,L,300.92,312.19,1713,53.15,125,0,No Failure
875,M00874,M,300.92,312.0,1645,38.21,12,0,No Failure
876,M00875,M,296.87,305.66,1623,31.69,78,0,No Failure
877,M00876,M,301.26,312.21,1259,39.88,240,0,No Failure
878,M00877,M,298.08,307.57,1591,51.17,170,0,No Failure
879,M00878,L,296.92,306.09,1375,41.16,18,0,No Failure
880,M00879,L,300.65,311.31,1652,65.22,24,0,No Failure
881,M00880,L,296.47,307.27,1047,38.1,69,0,No Failure
882,M00881,L,298.73,307.92,1502,41.31,244,1,General Failure
883,M00882,L,297.92,308.98,1329,34.76,25,0,No Failure
884,M00883,M,299.32,309.26,1221,38.17,75,0,No Failure
885,M00884,M,300.03,312.55,1844,37.28,234,1,General Failure
886,M00885,M,298.73,306.9,1263,37.85,75,0,No Failure
887,M00886,L,297.95,307.61,1400,33.25,94,0,No Failure
888,M00887,L,298.58,308.19,1661,41.04,239,0,No Failure
889,M00888,M,294.89,303.83,1287,54.0,105,0,No Failure
890,M00889,L,299.34,307.67,1803,42.56,56,0,No Failure
891,M00890,L,303.63,315.05,1288,46.73,215,0,No Failure
892,M00891,M,300.33,310.63,1271,36.15,249,0,No Failure
893,M00892,L,301.92,310.23,1398,42.23,163,0,No Failure
894,M00893,L,299.71,309.0,1425,58.74,16,0,No Failure
895,M00894,L,299.74,309.24,1931,42.08,47,0,No Failure
896,M00895,M,300.61,310.95,1765,41.64,229,0,No Failure
897,M00896,L,301.06,309.84,1443,40.39,63,0,No Failure
898,M00897,L,301.0,312.73,1744,56.34,32,0,No Failure
899,M00898,M,298.12,308.1,1297,40.75,83,0,No Failure
900,M00899,L,299.81,311.48,1635,33.74,83,0,No Failure
901,M00900,H,296.84,307.46,1489,35.91,167,0,No Failure
902,M00901,L,301.81,311.47,1374,31.73,62,0,No Failure
903,M00902,M,299.72,309.49,1857,41.36,203,0,No Failure
904,M00903,M,299.22,309.68,1627,42.84,9,0,No Failure
905,M00904,L,297.29,307.47,1589,44.57,233,1,General Failure
906,M00905,L,300.71,311.01,1132,38.95,172,0,No Failure
907,M00906,L,301.76,312.66,1466,51.96,219,1,General Failure
908,M00907,M,300.79,312.26,1592,22.64,68,0,No Failure
909,M00908,L,301.97,310.75,970,26.51,154,0,No Failure
910,M00909,M,298.29,306.33,1734,48.27,205,1,General Failure
911,M00910,L,301.63,310.52,1471,36.27,125,0,No Failure
912,M00911,L,299.82,311.27,1522,50.25,244,1,General Failure
913,M00912,L,294.57,304.34,1249,36.37,161,0,No Failure
914,M00913,L,300.38,309.61,1026,42.0,242,1,General Failure
915,M00914,M,297.87,308.28,1407,33.34,192,0,No Failure
916,M00915,M,299.55,310.42,1412,48.37,245,1,General Failure
917,M00916,L,298.54,307.2,1451,27.3,175,0,No Failure
918,M00917,M,298.13,306.94,2010,28.99,82,0,No Failure
919,M00918,M,301.94,311.88,1435,55.27,151,0,No Failure
920,M00919,M,298.79,308.65,1996,55.22,44,0,No Failure
921,M00920,L,300.24,309.34,1396,34.75,237,0,No Failure
922,M00921,L,301.27,313.96,1752,29.72,228,0,No Failure
923,M00922,H,299.15,310.62,1358,41.2,244,1,General Failure
924,M00923,H,297.46,307.26,1428,27.3,74,0,No Failure
925,M00924,L,300.05,310.84,1947,41.65,37,0,No Failure
926,M00925,L,299.75,308.29,1677,29.88,6,0,No Failure
927,M00926,L,298.16,309.26,1164,53.81,26,0,No Failure
928,M00927,L,300.18,309.94,1721,19.08,226,0,No Failure
929,M00928,L,302.48,311.63,1783,45.84,153,0,No Failure
930,M00929,H,301.89,310.23,1618,31.84,133,0,No Failure
931,M00930,M,303.05,314.02,1331,40.04,203,0,No Failure
932,M00931,H,302.73,312.81,1452,31.49,141,0,No Failure
933,M00932,M,300.4,309.69,1647,45.07,36,0,No Failure
934,M00933,L,300.05,311.24,1560,59.45,107,0,No Failure
935,M00934,M,297.87,307.56,1530,41.85,170,0,No Failure
936,M00935,M,302.37,312.66,1227,25.07,83,0,No Failure
937,M00936,L,298.91,308.32,1954,46.83,211,1,General Failure
938,M00937,M,301.17,311.65,1714,26.12,152,0,No Failure
939,M00938,M,303.32,311.92,1268,38.45,118,0,No Failure
940,M00939,L,300.28,309.77,1142,33.81,71,0,No Failure
941,M00940,H,297.1,307.14,1727,45.51,154,0,No Failure
942,M00941,H,297.98,306.98,1481,37.94,44,0,No Failure
943,M00942,H,299.34,308.66,974,38.52,81,0,No Failure
944,M00943,L,302.67,313.51,1554,27.55,193,0,No Failure
945,M00944,L,299.38,308.78,1574,34.51,111,0,No Failure
946,M00945,L,299.75,310.99,1291,42.46,88,0,No Failure
947,M00946,L,297.89,308.38,1298,38.21,15,0,No Failure
948,M00947,M,300.71,310.71,1708,29.68,183,0,No Failure
949,M00948,L,300.21,308.41,1232,35.21,69,0,No Failure
950,M00949,M,301.6,313.39,1184,53.43,134,0,No Failure
951,M00950,M,298.13,309.87,988,46.51,21,0,No Failure
952,M00951,L,301.2,311.55,1523,31.49,147,0,No Failure
953,M00952,M,297.19,307.35,1854,34.4,110,0,No Failure
954,M00953,M,298.65,308.73,1525,42.83,178,0,No Failure
955,M00954,H,298.88,308.39,1139,25.98,242,0,No Failure
956,M00955,L,299.57,309.27,1569,42.89,178,0,No Failure
957,M00956,L,300.75,311.23,1723,39.85,119,0,No Failure
958,M00957,H,295.33,303.54,1355,32.31,185,0,No Failure
959,M00958,M,299.78,309.72,1608,36.7,1,0,No Failure
960,M00959,L,299.16,309.64,1474,36.98,72,0,No Failure
961,M00960,M,297.3,305.19,2051,46.91,216,1,General Failure
962,M00961,H,299.32,308.52,1303,55.85,118,0,No Failure
963,M00962,M,300.82,308.95,1069,55.09,15,0,No Failure
964,M00963,L,299.03,307.29,1449,34.45,52,0,No Failure
965,M00964,M,298.96,309.59,1816,31.34,198,0,No Failure
966,M00965,L,301.29,309.85,1519,40.19,3,0,No Failure
967,M00966,M,298.45,311.55,1793,56.81,51,0,No Failure
968,M00967,M,302.04,311.76,1587,36.62,162,0,No Failure
969,M00968,M,300.71,309.68,1819,60.96,225,1,General Failure
970,M00969,L,300.81,310.41,1466,42.32,194,0,No Failure
971,M00970,L,301.14,311.06,1313,44.13,119,0,No Failure
972,M00971,L,302.45,312.74,1275,45.63,43,0,No Failure
973,M00972,L,298.56,308.88,1365,36.64,80,0,No Failure
974,M00973,L,302.26,312.56,1576,58.43,11,0,No Failure
975,M00974,M,298.23,309.47,1739,42.56,116,0,No Failure
976,M00975,M,300.73,312.1,1353,34.34,80,0,No Failure
977,M00976,L,301.2,311.23,1827,34.91,177,0,No Failure
978,M00977,L,300.29,310.69,1382,40.58,27,0,No Failure
979,M00978,H,297.8,306.86,1779,35.63,61,0,No Failure
980,M00979,M,297.59,306.82,1345,46.42,69,0,No Failure
981,M00980,L,297.81,307.32,1470,30.33,136,0,No Failure
982,M00981,M,299.91,311.48,1677,41.66,36,0,No Failure
983,M00982,L,300.35,309.47,1464,44.07,112,0,No Failure
984,M00983,M,301.12,311.32,2282,35.88,129,0,No Failure
985,M00984,M,296.98,307.1,1632,40.51,129,0,No Failure
986,M00985,L,300.64,311.56,1731,26.9,193,0,No Failure
987,M00986,M,302.04,311.3,1266,34.75,186,0,No Failure
988,M00987,L,300.34,309.85,1436,38.81,111,0,No Failure
989,M00988,L,300.0,311.27,1845,39.56,26,0,No Failure
990,M00989,L,301.64,311.93,1791,33.12,77,0,No Failure
991,M00990,L,303.17,312.52,1638,42.45,150,0,No Failure
992,M00991,L,302.98,314.37,1610,53.48,133,0,No Failure
993,M00992,H,303.08,313.22,1347,53.68,205,1,General Failure
994,M00993,L,297.54,306.92,1566,36.77,88,0,No Failure
995,M00994,L,302.92,314.02,1360,34.87,206,0,No Failure
996,M00995,M,299.45,311.57,1209,45.52,195,1,General Failure
997,M00996,M,301.75,311.28,1468,33.75,4,0,No Failure
998,M00997,M,298.89,307.71,1937,41.04,237,1,General Failure
999,M00998,L,300.82,308.01,1466,50.47,109,0,No Failure
1000,M00999,M,298.95,311.14,1649,35.88,177,0,No Failure
1001,M01000,M,299.52,308.89,1312,43.76,81,0,No Failure
1002,M01001,L,303.91,313.55,1469,35.15,133,0,No Failure
1003,M01002,L,297.72,306.54,1816,55.49,8,0,No Failure
1004,M01003,L,302.04,311.83,1591,36.8,109,0,No Failure
1005,M01004,M,300.23,308.99,1446,24.5,7,0,No Failure
1006,M01005,L,297.91,309.74,1847,50.92,179,0,No Failure
1007,M01006,L,302.7,313.55,1560,38.96,54,0,No Failure
1008,M01007,L,300.17,309.54,1740,34.23,217,0,No Failure
1009,M01008,L,299.01,307.57,2061,43.47,50,0,No Failure
1010,M01009,M,300.77,311.49,2103,35.81,74,0,No Failure
1011,M01010,L,298.53,307.54,1268,32.43,78,0,No Failure
1012,M01011,L,303.42,314.96,1620,39.97,111,0,No Failure
1013,M01012,L,297.18,307.53,1289,34.0,64,0,No Failure
1014,M01013,L,299.11,309.08,1522,44.11,233,1,General Failure
1015,M01014,L,296.15,304.75,1637,51.72,226,1,General Failure
1016,M01015,M,300.61,310.93,1405,47.71,192,0,No Failure
1017,M01016,L,301.74,310.19,1862,15.68,248,0,No Failure
1018,M01017,H,301.96,313.37,1513,42.36,157,0,No Failure
1019,M01018,M,303.19,310.86,1114,33.33,230,0,No Failure
1020,M01019,L,300.12,309.72,1547,45.45,212,0,No Failure
1021,M01020,H,299.24,312.08,1201,41.54,243,1,General Failure
1022,M01021,M,301.97,311.4,1391,38.48,62,0,No Failure
1023,M01022,L,298.96,309.86,1317,29.48,26,0,No Failure
1024,M01023,M,300.82,312.12,1519,42.5,198,0,No Failure
1025,M01024,H,299.23,309.68,1077,36.9,79,0,No Failure
1026,M01025,L,298.73,308.61,1384,30.62,134,0,No Failure
1027,M01026,L,300.06,311.33,1570,50.75,9,0,No Failure
1028,M01027,L,302.38,313.7,1333,46.13,166,0,No Failure
1029,M01028,M,301.97,311.36,1090,25.41,248,0,No Failure
1030,M01029,M,300.46,312.39,1610,40.03,25,0,No Failure
1031,M01030,L,294.99,306.61,1473,44.53,102,0,No Failure
1032,M01031,L,300.21,309.07,1221,29.89,193,0,No Failure
1033,M01032,L,300.95,311.64,1166,36.76,235,0,No Failure
1034,M01033,L,301.28,312.02,1415,41.2,246,1,General Failure
1035,M01034,L,298.79,309.04,1648,38.69,35,0,No Failure
1036,M01035,L,302.2,311.54,1199,56.81,219,1,General Failure
1037,M01036,H,300.87,309.51,1378,44.95,98,0,No Failure
1038,M01037,L,296.45,307.13,1861,34.97,161,0,No Failure
1039,M01038,L,301.7,309.88,1478,29.58,233,0,No Failure
1040,M01039,L,303.46,312.86,1546,42.97,61,0,No Failure
1041,M01040,M,300.75,308.52,1496,48.8,68,0,No Failure
1042,M01041,H,298.66,307.9,1845,41.5,238,1,General Failure
1043,M01042,L,303.83,314.1,1270,47.21,29,0,No Failure
1044,M01043,M,302.22,310.61,1514,37.57,26,0,No Failure
1045,M01044,M,296.6,307.61,1524,32.94,63,0,No Failure
1046,M01045,M,302.32,313.52,1657,45.66,196,0,No Failure
1047,M01046,M,301.03,311.61,1450,17.28,9,0,No Failure
1048,M01047,M,300.79,311.66,932,44.41,114,0,No Failure
1049,M01048,L,296.72,308.56,1250,41.75,223,0,No Failure
1050,M01049,L,296.88,307.86,1490,25.25,86,0,No Failure
1051,M01050,M,300.54,308.62,1843,34.26,75,0,No Failure
1052,M01051,L,304.01,313.92,1257,52.01,210,1,General Failure
1053,M01052,M,300.53,309.63,1850,36.96,110,0,No Failure
1054,M01053,L,300.36,310.49,1418,36.13,58,0,No Failure
1055,M01054,M,298.95,307.04,1645,45.26,111,0,No Failure
1056,M01055,M,299.38,309.54,1589,41.08,217,0,No Failure
1057,M01056,L,302.2,311.99,1261,39.54,191,0,No Failure
1058,M01057,M,298.61,309.34,1561,51.8,78,0,No Failure
1059,M01058,H,303.86,312.81,1375,58.5,242,1,General Failure
1060,M01059,M,301.07,310.85,1817,31.78,85,0,No Failure
1061,M01060,M,300.73,308.31,1828,43.22,179,0,No Failure
1062,M01061,M,299.83,309.73,1594,35.13,87,0,No Failure
1063,M01062,L,298.63,308.66,1568,44.62,34,0,No Failure
1064,M01063,L,299.55,308.05,1568,41.44,98,0,No Failure
1065,M01064,M,297.14,307.22,1831,52.12,111,0,No Failure
1066,M01065,L,300.15,308.6,1573,33.89,117,0,No Failure
1067,M01066,L,296.22,306.84,1209,31.45,200,0,No Failure
1068,M01067,H,304.36,313.44,1599,41.77,207,0,No Failure
1069,M01068,H,299.83,309.39,2298,34.2,94,0,No Failure
1070,M01069,L,296.89,308.91,1260,46.93,189,1,General Failure
1071,M01070,L,300.42,311.16,1689,52.17,49,0,No Failure
1072,M01071,M,300.13,311.99,1545,33.18,226,0,No Failure
1073,M01072,H,298.78,310.07,1843,56.68,109,0,No Failure
1074,M01073,L,300.38,310.33,1837,46.91,197,0,No Failure
1075,M01074,M,298.26,310.19,1450,46.26,139,0,No Failure
1076,M01075,L,299.59,310.0,1723,43.31,102,0,No Failure
1077,M01076,M,299.48,309.56,1236,57.35,21,0,No Failure
1078,M01077,L,300.82,310.39,1594,26.61,192,0,No Failure
1079,M01078,H,298.74,307.43,1128,35.67,199,0,No Failure
1080,M01079,L,300.41,311.15,1767,43.37,213,0,No Failure
1081,M01080,M,294.23,304.06,1378,52.0,161,0,No Failure
1082,M01081,M,301.99,312.62,1632,41.12,130,0,No Failure
1083,M01082,L,300.21,310.19,1352,53.27,146,0,No Failure
1084,M01083,L,300.95,311.78,1687,37.07,10,0,No Failure
1085,M01084,L,299.38,308.8,1506,60.94,75,0,No Failure
1086,M01085,M,301.63,312.04,1312,38.86,239,0,No Failure
1087,M01086,H,299.8,311.14,1590,27.08,179,0,No Failure
1088,M01087,M,300.3,311.97,1494,13.2,69,0,No Failure
1089,M01088,L,300.05,310.2,1327,30.09,51,0,No Failure
1090,M01089,M,298.83,307.88,1372,40.89,105,0,No Failure
1091,M01090,M,298.1,310.02,1599,43.06,199,0,No Failure
1092,M01091,L,300.98,312.62,1287,38.11,98,0,No Failure
1093,M01092,L,301.18,310.6,1622,36.44,54,0,No Failure
1094,M01093,L,299.83,311.57,1630,25.11,69,0,No Failure
1095,M01094,M,302.43,313.28,1419,57.95,192,1,General Failure
1096,M01095,L,300.22,309.36,1626,44.04,213,0,No Failure
1097,M01096,L,300.93,311.33,1268,46.61,152,0,No Failure
1098,M01097,L,302.15,310.93,1550,41.53,134,0,No Failure
1099,M01098,M,301.39,311.19,1383,32.89,187,0,No Failure
1100,M01099,M,299.61,309.38,1718,57.73,192,1,General Failure
1101,M01100,M,297.81,307.97,1686,47.03,232,1,General Failure
1102,M01101,L,298.46,310.0,2077,38.0,159,0,No Failure
1103,M01102,M,297.89,306.39,1395,40.5,66,0,No Failure
1104,M01103,L,301.55,308.17,1696,29.45,122,0,No Failure
1105,M01104,M,292.89,303.94,1444,41.46,160,0,No Failure
1106,M01105,H,303.98,313.86,1685,45.06,10,0,No Failure
1107,M01106,M,298.21,309.54,2026,24.6,213,0,No Failure
1108,M01107,M,302.13,313.36,1810,38.27,82,0,No Failure
1109,M01108,L,300.59,312.78,1544,36.77,92,0,No Failure
1110,M01109,H,301.06,308.95,1533,43.71,239,1,General Failure
1111,M01110,M,297.41,309.47,1240,32.85,7,0,No Failure
1112,M01111,H,302.06,312.24,1147,41.5,178,0,No Failure
1113,M01112,L,299.81,309.46,1541,47.77,92,0,No Failure
1114,M01113,M,301.25,313.33,1357,43.93,30,0,No Failure
1115,M01114,L,298.14,309.83,1690,47.11,219,1,General Failure
1116,M01115,L,299.94,308.55,1422,36.77,27,0,No Failure
1117,M01116,L,298.61,308.1,1757,46.16,205,1,General Failure
1118,M01117,M,300.64,312.58,1365,58.25,207,1,General Failure
1119,M01118,L,301.38,309.97,1339,40.76,169,0,No Failure
1120,M01119,L,299.57,310.26,1945,49.86,101,0,No Failure
1121,M01120,M,300.9,311.76,1354,41.43,46,0,No Failure
1122,M01121,L,301.04,311.08,1515,51.59,240,1,General Failure
1123,M01122,L,299.89,309.53,1563,46.4,75,0,No Failure
1124,M01123,L,299.48,310.68,1633,24.86,167,0,No Failure
1125,M01124,L,296.17,306.17,968,35.32,35,0,No Failure
1126,M01125,L,302.12,311.22,1642,40.79,94,0,No Failure
1127,M01126,M,300.36,311.35,1266,57.9,223,1,General Failure
1128,M01127,L,299.53,308.0,1103,31.65,60,0,No Failure
1129,M01128,M,300.44,310.14,1710,33.91,18,0,No Failure
1130,M01129,L,298.98,309.75,1221,41.37,84,0,No Failure
1131,M01130,L,299.4,307.97,1688,36.05,25,0,No Failure
1132,M01131,M,301.01,312.99,1810,22.02,104,0,No Failure
1133,M01132,L,297.02,307.67,1457,56.9,103,0,No Failure
1134,M01133,L,299.41,309.57,1479,25.47,104,0,No Failure
1135,M01134,L,300.51,309.51,1082,38.43,173,0,No Failure
1136,M01135,L,296.92,307.38,1335,49.5,19,0,No Failure
1137,M01136,L,297.87,307.7,1982,36.8,169,0,No Failure
1138,M01137,L,302.52,313.19,1661,56.54,141,0,No Failure
1139,M01138,M,304.39,313.94,1699,39.09,20,0,No Failure
1140,M01139,M,300.65,311.2,1714,42.09,241,1,General Failure
1141,M01140,M,301.38,309.82,1658,34.27,74,0,No Failure
1142,M01141,M,298.35,306.72,1677,42.71,133,0,No Failure
1143,M01142,H,302.75,312.0,1694,37.91,71,0,No Failure
1144,M01143,L,299.97,307.73,1138,42.65,67,0,No Failure
1145,M01144,L,300.26,310.08,1137,31.86,182,0,No Failure
1146,M01145,M,300.89,311.06,1403,29.01,188,0,No Failure
1147,M01146,L,298.95,307.03,1655,41.66,38,0,No Failure
1148,M01147,L,298.69,308.53,1162,36.74,80,0,No Failure
1149,M01148,L,300.03,309.3,1672,42.53,230,0,No Failure
1150,M01149,M,297.98,307.19,1267,52.74,167,1,General Failure
1151,M01150,L,298.92,310.45,1958,49.48,181,0,No Failure
1152,M01151,L,294.95,304.52,1723,42.08,60,0,No Failure
1153,M01152,H,298.06,308.04,2086,37.75,88,0,No Failure
1154,M01153,L,300.98,310.27,1813,39.81,101,0,No Failure
1155,M01154,M,302.25,311.65,1137,37.98,119,0,No Failure
1156,M01155,M,301.26,311.12,1490,40.08,204,0,No Failure
1157,M01156,L,298.39,308.43,1647,28.32,59,0,No Failure
1158,M01157,L,300.2,309.93,1641,42.51,20,0,No Failure
1159,M01158,M,298.17,309.42,1389,46.45,7,0,No Failure
1160,M01159,L,297.93,307.65,1137,44.17,232,1,General Failure
1161,M01160,L,302.0,311.92,1262,37.6,94,0,No Failure
1162,M01161,M,299.3,311.37,1408,44.67,225,1,General Failure
1163,M01162,L,299.39,309.7,1460,31.43,165,0,No Failure
1164,M01163,L,300.42,311.45,1341,41.13,19,0,No Failure
1165,M01164,L,301.89,312.77,1347,34.97,161,0,No Failure
1166,M01165,L,300.3,309.9,1442,42.86,241,0,No Failure
1167,M01166,H,299.58,311.19,1635,33.4,147,0,No Failure
1168,M01167,L,300.74,311.11,1274,45.88,167,0,No Failure
1169,M01168,L,299.92,310.18,1476,27.13,20,0,No Failure
1170,M01169,L,299.48,309.67,1680,29.43,229,0,No Failure
1171,M01170,L,295.73,306.27,1308,48.96,98,0,No Failure
1172,M01171,M,298.38,309.45,1404,50.34,229,1,General Failure
1173,M01172,H,299.86,307.43,1131,51.52,194,1,General Failure
1174,M01173,L,298.11,309.8,1437,38.37,17,0,No Failure
1175,M01174,M,303.81,311.46,1444,37.81,187,0,No Failure
1176,M01175,M,304.7,313.31,1666,41.39,144,0,No Failure
1177,M01176,M,303.55,314.36,1499,28.34,202,0,No Failure
1178,M01177,M,298.41,308.26,1190,27.33,163,0,No Failure
1179,M01178,M,301.18,312.04,1541,36.06,116,0,No Failure
1180,M01179,M,301.04,309.68,1226,38.36,60,0,No Failure
1181,M01180,M,300.92,311.02,1320,45.1,128,0,No Failure
1182,M01181,L,297.09,307.82,1335,27.37,60,0,No Failure
1183,M01182,M,302.07,311.14,1997,37.9,193,0,No Failure
1184,M01183,H,303.6,312.79,1837,33.7,25,0,No Failure
1185,M01184,L,301.87,312.09,1120,34.54,133,0,No Failure
1186,M01185,L,304.45,315.1,1586,43.31,35,0,No Failure
1187,M01186,L,299.68,306.78,1755,49.89,28,0,No Failure
1188,M01187,M,301.65,311.28,1708,40.7,146,0,No Failure
1189,M01188,H,302.85,313.24,1493,52.98,53,0,No Failure
1190,M01189,L,298.47,310.25,1516,51.65,138,0,No Failure
1191,M01190,L,300.06,308.77,1474,45.11,195,0,No Failure
1192,M01191,L,298.83,309.01,1485,36.16,240,0,No Failure
1193,M01192,L,302.05,310.81,1424,45.99,175,0,No Failure
1194,M01193,L,298.08,306.99,1211,42.32,230,0,No Failure
1195,M01194,L,300.94,310.23,1697,49.41,146,0,No Failure
1196,M01195,M,299.28,311.29,1374,44.23,46,0,No Failure
1197,M01196,L,302.1,312.8,2009,44.66,195,0,No Failure
1198,M01197,L,299.31,310.52,1569,49.76,34,0,No Failure
1199,M01198,L,300.02,309.95,1558,38.28,235,0,No Failure
1200,M01199,M,300.83,312.2,1786,53.78,3,0,No Failure
